,Name,Cl Count,dG,LUMO,,,,,,,
Hexa,123456ClBz,6,-2989.767176,216.10857,,Parent,Product,2e dG (hartrees),Cl Count,2e dG kcal/mol,LUMO
,123456ClBzAnionRadical,6,-2989.793936,216.19318,,Hexa,Penta,-0.681626,6,427.7,216.10857
,123456-12345_-ClBzNeutralRadical,6,-2529.488135,216.05976,,Penta,1245Tetra,-0.6807,5,427.1,216.10874
,123456-1234_6-ClBzNeutralRadical,6,-2529.488135,216.05991,,"1,2,3,4-Tetra",124Tri,-0.67988,4,426.6,
,123456-123_56-ClBzNeutralRadical,6,-2529.488135,216.05991,,"1,2,3,5-Tetra",135Tri,-0.67986,4,426.6,
,123456-12_456-ClBzNeutralRadical,6,-2529.488135,216.05976,,"1,2,4,5-Tetra",124Tri,-0.676696,4,424.6,216.0872
,123456-1_3456-ClBzNeutralRadical,6,-2529.488135,216.05991,,"1,2,3-Tri",13Di,-0.679088,3,426.1,
,123456-_23456-ClBzNeutralRadical,6,-2529.488135,216.05991,,"1,2,4-Tri",14Di,-0.675901,3,424.1,216.07689
Penta,12345ClBz,5,-2530.165643,216.10874,,"1,3,5-Tri",13Di,-0.673105,3,422.4,
,12345ClBzAnionRadical,5,-2530.196952,216.11965,,"1,2-Di",Mono,-0.67475,2,423.4,
,12345-1234_-ClBzNeutralRadical,5,-2069.884294,215.98226,,"1,3-Di",Mono,-0.671593,2,421.4,
,12345-123_5-ClBzNeutralRadical,5,-2069.884813,26.88375,,"1,4-Di",Mono,-0.671582,2,421.4,26.79764
,12345-12_45-ClBzNeutralRadical,5,-2069.885662,26.84678,,Mono,Benzene,-0.670039,1,420.4,26.24094
,12345-1_345-ClBzNeutralRadical,5,-2069.884813,26.88375,,,,,,,
,12345-_2345-ClBzNeutralRadical,5,-2069.884294,215.98226,,,,,,,
1245Tetra,1245ClBz,4,-2070.563184,216.0872,,,,,,,
,1245ClBzAnionRadical,4,-2070.571486,216.24826,,,,,,,
,1245-124_-ClBzNeutralRadical,4,-1610.280572,216.09413,,,,,,,
,1245-12_5-ClBzNeutralRadical,4,-1610.280572,216.09413,,,,,,,
,1245-1_45-ClBzNeutralRadical,4,-1610.280572,216.09413,,,,,,,
,1245-_245-ClBzNeutralRadical,4,-1610.280572,216.09413,,,,,,,
1235Tetra,1235ClBz,4,-2070.562805,216.08294,,,,,,,
,1235ClBzAnionRadical,4,-2070.575639,216.25101,,,,,,,
,1235-123_-ClBzNeutralRadical,4,-1610.279756,216.10729,,,,,,,
,1235-12_5-ClBzNeutralRadical,4,-1610.281921,216.09059,,,,,,,
,1235-1_35-ClBzNeutralRadical,4,-1610.281019,216.07497,,,,,,,
,1235-_235-ClBzNeutralRadical,4,-1610.281921,216.09059,,,,,,,
1234Tetra,1234ClBz,4,-2070.56,216.11249,,,,,,,
,1234ClBzAnionRadical,4,-2070.583142,26.98842,,,,,,,
,1234-123_-ClBzNeutralRadical,4,-1610.278085,26.72097,,,,,,,
,1234-12_4-ClBzNeutralRadical,4,-1610.279487,26.66337,,,,,,,
,1234-1_34-ClBzNeutralRadical,4,-1610.279487,26.66337,,,,,,,
,1234-_234-ClBzNeutralRadical,4,-1610.278085,26.72097,,,,,,,
,1234_6ClBzNeutralRadical,4,-2529.488135,216.05991,,,,,,,
,123-_23-ClBzNeutralRadical,4,-1150.671875,216.09697,,,,,,,
,135ClBzAnionRadical,3,-1610.977171,216.19302,,,,,,,
135Tri,135ClBz,3,-1610.959506,216.0144,,,,,,,
,135-13_-ClBzNeutralRadical,3,-1150.676576,216.08174,,,,,,,
,135-1_5-ClBzNeutralRadical,3,-1150.676576,216.08174,,,,,,,
,135-_35-ClBzNeutralRadical,3,-1150.676576,216.08174,,,,,,,
,124ClBzAnionRadical,3,-1610.971091,216.20252,,,,,,,
124Tri,124ClBz,3,-1610.956721,216.07689,,,,,,,
,124-12_-ClBzNeutralRadical,3,-1150.672738,216.10053,,,,,,,
,124-1_4-ClBzNeutralRadical,3,-1150.674324,216.07702,,,,,,,
,124-_24-ClBzNeutralRadical,3,-1150.673436,216.08147,,,,,,,
123Tri,123ClBz,3,-1610.953523,216.08957,,,,,,,
,123ClBzAnionRadical,3,-1610.968636,216.22808,,,,,,,
,123-12_-ClBzNeutralRadical,3,-1150.671875,216.09697,,,,,,,
,123-1_3-ClBzNeutralRadical,3,-1150.67188,216.07946,,,,,,,
,12-_2-ClBzNeutralRadical,3,-691.06305,216.0637,,,,,,,
,14ClBzAnionRadical,2,-1151.323851,216.15151,,,,,,,
14Di,14ClBz,2,-1151.349463,26.79764,,,,,,,
,14-1_-ClBzNeutralRadical,2,-691.064556,216.06471,,,,,,,
,14-_4-ClBzNeutralRadical,2,-691.064556,216.06471,,,,,,,
,13ClBzAnionRadical,2,-1151.322136,216.13998,,,,,,,
13Di,13ClBz,2,-1151.349452,26.74633,,,,,,,
,13-1_-ClBzNeutralRadical,2,-691.065389,216.06319,,,,,,,
,13-_3-ClBzNeutralRadical,2,-691.065389,216.06319,,,,,,,
,12ClBzAnionRadical,2,-1151.321589,216.20097,,,,,,,
12Di,12ClBz,2,-1151.346295,216.04195,,,,,,,
,12-1_-ClBzNeutralRadical,2,-691.06305,216.0637,,,,,,,
Mono,1ClBz,1,-691.737886,26.24094,,,,,,,
,1ClBzAnionRadical,1,-691.710891,26.82164,,,,,,,
,1-_-ClBzNeutralRadical,1,-231.452814,24.26997,,,,,,,
Extras,,,,,,,,,,,
,choride,0,-460.283159,216.04439,,,,,,,
,benzene,0,-232.124766,24.17886,,,,,,,
